OrderID,OrderDate,Model,Storage,Color,Region,City,Channel,UnitPrice,Quantity,DiscountRate,GrossSales,NetSales,COGS,Profit
IP10000,13-04-2023,iPhone 15 Pro Max,128GB,Black,West,Mumbai,Online,163900,1,0.05,163900,155705,132700,23005
IP10001,01-12-2024,iPhone 15 Pro Max,128GB,Silver,North,Lucknow,Store,157900,1,0,157900,157900,114200,43700
IP10002,27-11-2023,iPhone 13,128GB,White,South,Hyderabad,Online,66900,1,0.2,66900,53520,52900,620
IP10003,25-10-2024,iPhone 14,1TB,White,East,Bhubaneswar,Store,79800,1,0,79800,79800,67500,12300
IP10004,06-05-2024,iPhone 14,1TB,Blue,West,Mumbai,Online,84100,1,0.1,84100,75690,61200,14490
IP10005,04-10-2023,iPhone 13,128GB,Red,North,Chandigarh,Store,69300,1,0.2,69300,55440,54000,1440
IP10006,17-01-2025,iPhone 14 Pro,128GB,Silver,East,Bhubaneswar,Online,110600,1,0.15,110600,94010,87600,6410
IP10007,12-11-2024,iPhone 13,512GB,Silver,West,Ahmedabad,Online,60700,2,0,121400,121400,91600,29800
IP10008,09-07-2023,iPhone 13,256GB,Blue,North,Delhi,Online,61400,1,0.15,61400,52190,44800,7390
IP10009,20-07-2024,iPhone 14 Pro,1TB,Silver,West,Mumbai,Store,134600,1,0.1,134600,121140,95200,25940
IP10010,29-03-2025,iPhone 14,512GB,Silver,North,Lucknow,Online,80200,1,0.2,80200,64160,56900,7260
IP10011,23-01-2024,iPhone 15 Pro Max,256GB,White,East,Patna,Store,168300,1,0.2,168300,134640,138200,-3560
IP10012,15-02-2025,iPhone 14,512GB,Black,South,Bengaluru,Store,70200,1,0.15,70200,59670,56300,3370
IP10013,02-01-2024,iPhone 14 Pro,128GB,White,West,Mumbai,Store,127100,2,0.15,254200,216070,196800,19270
IP10014,04-02-2023,iPhone 15 Pro Max,1TB,White,West,Mumbai,Online,167300,2,0.2,334600,267680,243400,24280
IP10015,23-01-2024,iPhone 15 Pro,512GB,Silver,East,Bhubaneswar,Store,129400,1,0.1,129400,116460,94600,21860
IP10016,10-02-2025,iPhone 14,256GB,Gold,East,Kolkata,Online,72800,1,0,72800,72800,60200,12600
IP10017,09-07-2024,iPhone 14,256GB,Silver,East,Bhubaneswar,Online,84100,1,0.15,84100,71485,70600,885
IP10018,12-05-2025,iPhone 15,1TB,Gold,West,Ahmedabad,Online,93800,2,0,187600,187600,147400,40200
IP10019,09-09-2023,iPhone 15 Pro Max,512GB,Silver,West,Mumbai,Store,141400,2,0.15,282800,240380,233800,6580
IP10020,18-01-2025,iPhone 14,1TB,Black,West,Ahmedabad,Online,74100,1,0.2,74100,59280,58400,880
IP10021,05-08-2023,iPhone 13,512GB,Silver,South,Bengaluru,Store,64200,2,0.05,128400,121980,95200,26780
IP10022,06-06-2023,iPhone 15 Pro,128GB,Gold,West,Pune,Online,144100,1,0,144100,144100,101200,42900
IP10023,04-06-2024,iPhone 14 Pro,512GB,White,North,Delhi,Online,129300,2,0,258600,258600,192400,66200
IP10024,04-03-2023,iPhone 15 Pro Max,1TB,Black,South,Bengaluru,Store,164500,1,0.2,164500,131600,132700,-1100
IP10025,23-02-2024,iPhone 14,512GB,Gold,East,Kolkata,Online,81600,1,0.1,81600,73440,68500,4940
IP10026,10-02-2023,iPhone 15,512GB,Red,East,Kolkata,Online,93700,1,0.05,93700,89015,74400,14615
IP10027,02-02-2023,iPhone 13,512GB,Black,South,Hyderabad,Online,61000,1,0,61000,61000,48800,12200
IP10028,15-03-2025,iPhone 13,128GB,White,North,Delhi,Store,70900,2,0,141800,141800,105200,36600
IP10029,30-06-2024,iPhone 15 Pro,256GB,Blue,East,Kolkata,Online,134200,1,0.2,134200,107360,113500,-6140
IP10030,04-10-2024,iPhone 15 Pro,1TB,White,East,Patna,Online,142800,1,0,142800,142800,105000,37800
IP10031,02-02-2024,iPhone 13,1TB,Blue,East,Patna,Store,67400,1,0,67400,67400,54400,13000
IP10032,07-05-2025,iPhone 15 Pro Max,128GB,Black,East,Bhubaneswar,Store,140800,1,0,140800,140800,102800,38000
IP10033,13-05-2025,iPhone 14,256GB,White,East,Kolkata,Store,79500,2,0.05,159000,151050,124800,26250
IP10034,18-06-2025,iPhone 14 Pro,1TB,White,North,Chandigarh,Online,132700,1,0,132700,132700,104900,27800
IP10035,16-10-2024,iPhone 15 Pro Max,128GB,Black,South,Bengaluru,Store,162700,2,0.15,325400,276590,273800,2790
IP10036,18-04-2025,iPhone 15,256GB,Red,North,Delhi,Store,84300,1,0,84300,84300,70100,14200
IP10037,12-11-2024,iPhone 15,512GB,Red,West,Pune,Store,92100,1,0.05,92100,87495,65900,21595
